Row_Number,Timestamp,Session_ID,Frame_ID,Hand_Side,Current_State,Velocity_Px,Fingers_In_Zone,In_Board_Zone_Bool,Pos_X,Pos_Y
2454,27.125,20260207_212739,785,Left,Delay,2.4,0,False,154,346
2455,27.125,20260207_212739,785,Right,Transport,8.9,0,False,1037,388
2456,27.194,20260207_212739,787,Left,Delay,2.0,0,False,153,348
2457,27.194,20260207_212739,787,Right,Transport,5.2,0,False,1034,389
2458,27.263,20260207_212739,789,Left,Delay,2.3,0,False,148,347
2459,27.263,20260207_212739,789,Right,Transport,4.1,0,False,1044,385
2460,27.332,20260207_212739,791,Left,Transport,4.3,0,False,133,350
2461,27.332,20260207_212739,791,Right,Transport,6.9,0,False,1066,381
2462,27.401,20260207_212739,793,Left,Transport,9.8,0,False,104,346
2463,27.401,20260207_212739,793,Right,Transport,12.7,0,False,1093,362
2464,27.471,20260207_212739,795,Left,Transport,14.3,0,False,82,324
2465,27.471,20260207_212739,795,Right,Transport,17.7,0,False,1123,332
2466,27.540,20260207_212739,797,Left,Transport,16.7,0,False,77,288
2467,27.540,20260207_212739,797,Right,Transport,19.0,0,False,1132,298
2468,27.609,20260207_212739,799,Left,Transport,17.1,0,False,88,259
2469,27.609,20260207_212739,799,Right,Transport,21.9,0,False,1112,256
2470,27.678,20260207_212739,801,Left,Transport,19.1,0,False,131,246
2471,27.678,20260207_212739,801,Right,Transport,24.6,0,False,1060,233
2472,27.747,20260207_212739,803,Left,Transport,24.8,0,False,190,238
2473,27.747,20260207_212739,803,Right,Transport,31.3,0,False,990,224
2474,27.816,20260207_212739,805,Left,Transport,29.5,0,False,247,238
2475,27.816,20260207_212739,805,Right,Transport,30.5,0,False,938,218
2476,27.885,20260207_212739,807,Left,Transport,25.2,0,False,285,243
2477,27.885,20260207_212739,807,Right,Transport,26.9,2,True,890,225
2478,27.954,20260207_212739,809,Left,Transport,21.4,0,False,323,250
2479,27.954,20260207_212739,809,Right,Transport,25.1,3,True,842,244
2480,28.023,20260207_212739,811,Left,Transport,18.3,4,True,354,260
2481,28.023,20260207_212739,811,Right,Operation,23.6,4,True,807,265
2482,28.093,20260207_212739,813,Left,Transport,17.3,5,True,385,277
2483,28.093,20260207_212739,813,Right,Operation,20.1,4,True,783,289
2484,28.162,20260207_212739,815,Left,Operation,19.6,5,True,421,304
2485,28.162,20260207_212739,815,Right,Operation,18.2,4,True,758,315
2486,28.231,20260207_212739,817,Left,Operation,18.7,5,True,442,327
2487,28.231,20260207_212739,817,Right,Operation,14.2,4,True,748,330
2488,28.300,20260207_212739,819,Left,Operation,15.4,5,True,453,341
2489,28.300,20260207_212739,819,Right,Operation,10.3,4,True,743,343
2490,28.369,20260207_212739,821,Left,Operation,7.8,5,True,460,350
2491,28.369,20260207_212739,821,Right,Operation,6.5,4,True,742,354
2492,28.438,20260207_212739,823,Left,Operation,5.0,5,True,465,351
2493,28.438,20260207_212739,823,Right,Operation,4.9,4,True,741,361
2494,28.507,20260207_212739,825,Left,Operation,3.3,5,True,469,354
2495,28.507,20260207_212739,825,Right,Operation,3.6,4,True,741,367
2496,28.576,20260207_212739,827,Left,Operation,2.7,5,True,473,354
2497,28.576,20260207_212739,827,Right,Operation,2.0,4,True,740,367
2498,28.645,20260207_212739,829,Left,Operation,3.8,5,True,482,356
2499,28.645,20260207_212739,829,Right,Operation,1.8,4,True,735,368
2500,28.715,20260207_212739,831,Left,Operation,4.4,5,True,490,360
2501,28.715,20260207_212739,831,Right,Operation,2.0,4,True,733,371
2502,28.784,20260207_212739,833,Left,Operation,4.0,5,True,494,357
2503,28.784,20260207_212739,833,Right,Operation,2.1,4,True,733,375
2504,28.853,20260207_212739,835,Left,Operation,3.1,5,True,496,353
2505,28.853,20260207_212739,835,Right,Operation,2.0,4,True,733,379
